id,game,img
66,Nintendo GameCube,https://cdn.thegamesdb.net/images/original//consoles/png48/nintendo-gamecube-1336524714.png
67,Nintendo Pokémon Mini,https://cdn.thegamesdb.net/images/original//consoles/png48/4957-1468268912.png
68,Nintendo Switch,https://cdn.thegamesdb.net/images/original//consoles/png48/nintendo-switch-1489508941.png
69,Nintendo Virtual Boy,https://cdn.thegamesdb.net/images/original//consoles/png48/nintendo-virtual-boy-1447139594.png
70,Nintendo Wii,https://cdn.thegamesdb.net/images/original//consoles/png48/nintendo-wii-1336524734.png
71,Nintendo Wii U,https://cdn.thegamesdb.net/images/original//consoles/png48/nintendo-wii-u-1336524744.png
72,Nuon,https://cdn.thegamesdb.net/images/original//consoles/png48/nuon-1445250489.png
73,Ouya,https://cdn.thegamesdb.net/images/original//consoles/png48/ouya-1393097891.png
74,PC,https://cdn.thegamesdb.net/images/original//consoles/png48/pc-1336524756.png
75,PC-88,https://cdn.thegamesdb.net/images/original//consoles/png48/pc88-1444092490.png
76,PC-98,https://cdn.thegamesdb.net/images/original//consoles/png48/4934-1444591291.png
77,PC-FX,https://cdn.thegamesdb.net/images/original//consoles/png48/pcfx-1444080539.png
78,Philips CD-i,https://cdn.thegamesdb.net/images/original//consoles/png48/philips-cd-i-1393098199.png
79,Pioneer LaserActive,https://cdn.thegamesdb.net/images/original//consoles/png48/console_default.png
80,R-Zone,https://cdn.thegamesdb.net/images/original//consoles/png48/r_zone.png
81,RCA Studio II,https://cdn.thegamesdb.net/images/original//consoles/png48/console_default.png
82,SAM Coupé,https://cdn.thegamesdb.net/images/original//consoles/png48/console_default.png
83,Sega 32X,https://cdn.thegamesdb.net/images/original//consoles/png48/sega-32x-1336524764.png
84,Sega CD,https://cdn.thegamesdb.net/images/original//consoles/png48/sega-cd-1336524786.png
85,Sega Dreamcast,https://cdn.thegamesdb.net/images/original//consoles/png48/sega-dreamcast-1336524794.png
86,Sega Game Gear,https://cdn.thegamesdb.net/images/original//consoles/png48/sega-game-gear-1336524808.png
87,Sega Genesis,https://cdn.thegamesdb.net/images/original//consoles/png48/sega-genesis-1336524897.png
88,Sega Master System,https://cdn.thegamesdb.net/images/original//consoles/png48/sega-master-system-1336524915.png
89,Sega Mega Drive,https://cdn.thegamesdb.net/images/original//consoles/png48/sega-mega-drive-1336524932.png
90,Sega Pico,https://cdn.thegamesdb.net/images/original//consoles/png48/4958-1468268712.png
91,Sega Saturn,https://cdn.thegamesdb.net/images/original//consoles/png48/sega-saturn-1336524946.png
92,SEGA SG-1000,https://cdn.thegamesdb.net/images/original//consoles/png48/sg1000-1448530019.png
93,Sharp X1,https://cdn.thegamesdb.net/images/original//consoles/png48/console_default.png
94,Sharp X68000,https://cdn.thegamesdb.net/images/original//consoles/png48/x68000-1444590873.png
95,Sinclair ZX Spectrum,https://cdn.thegamesdb.net/images/original//consoles/png48/sinclair-zx-spectrum-1393098451.png
96,Sony Playstation,https://cdn.thegamesdb.net/images/original//consoles/png48/sony-playstation-1336524956.png
97,Sony Playstation 2,https://cdn.thegamesdb.net/images/original//consoles/png48/sony-playstation-2-1336524968.png
98,Sony Playstation 3,https://cdn.thegamesdb.net/images/original//consoles/png48/sony-playstation-3-1336524977.png
99,Sony Playstation 4,https://cdn.thegamesdb.net/images/original//consoles/png48/sony-playstation-4-1393097424.png
100,Sony Playstation 5,https://cdn.thegamesdb.net/images/original//consoles/png48/sony-playstation-4-1393097424.png
101,Sony Playstation Portable,https://cdn.thegamesdb.net/images/original//consoles/png48/sony-psp-1336525006.png
102,Sony Playstation Vita,https://cdn.thegamesdb.net/images/original//consoles/png48/sony-playstation-vita-1336524991.png
103,Super Nintendo (SNES),https://cdn.thegamesdb.net/images/original//consoles/png48/super-nintendo-snes-1448530937.png
104,Tandy Visual Interactive System,https://cdn.thegamesdb.net/images/original//consoles/png48/vis_console_icon.png
105,Texas Instruments TI-99/4A,https://cdn.thegamesdb.net/images/original//consoles/png48/texas-instruments-ti-99-4a-1468138361.png
106,Tomy Tutor,https://cdn.thegamesdb.net/images/original//consoles/png48/console_default.png
107,TRS-80 Color Computer,https://cdn.thegamesdb.net/images/original//consoles/png48/trs80-color-1446589658.png
108,TurboGrafx 16,https://cdn.thegamesdb.net/images/original//consoles/png48/turbografx-16-1336525037.png
109,TurboGrafx CD,https://cdn.thegamesdb.net/images/original//consoles/png48/4955-1455648164.png
110,Vectrex,https://cdn.thegamesdb.net/images/original//consoles/png48/vectrex-1445285621.png
111,Watara Supervision,https://cdn.thegamesdb.net/images/original//consoles/png48/console_default.png
112,WonderSwan,https://cdn.thegamesdb.net/images/original//consoles/png48/wonderswan-1393097485.png
113,WonderSwan Color,https://cdn.thegamesdb.net/images/original//consoles/png48/wonderswan-color-1393097500.png
114,Xavix Port,https://cdn.thegamesdb.net/images/original//consoles/png48/xavix_port.png
